match_id,round_number,t1_side,t2_side,atk_score,def_score,time_remaining_s,spike_planted,atk_loadout_value,def_loadout_value,atk_duelists_alive,atk_controllers_alive,atk_initiators_alive,atk_sentinels_alive,def_duelists_alive,def_controllers_alive,def_initiators_alive,def_sentinels_alive,round_winner
192476,10,ATK,DEF,3,6,70,0,22350,24400,1,0,0,2,0,2,2,0,DEF
192476,10,ATK,DEF,3,6,60,0,22350,24400,1,0,0,2,0,2,1,0,DEF
192476,10,ATK,DEF,3,6,59,0,22350,24400,0,0,0,2,0,2,1,0,DEF
192476,10,ATK,DEF,3,6,57,0,22350,24400,0,0,0,2,0,1,1,0,DEF
192476,10,ATK,DEF,3,6,43,0,22350,24400,0,0,0,1,0,1,1,0,DEF
192476,10,ATK,DEF,3,6,39,0,22350,24400,0,0,0,0,0,1,1,0,DEF
192476,11,ATK,DEF,3,7,100,0,12000,25050,1,1,0,2,0,2,2,1,DEF
192476,11,ATK,DEF,3,7,79,0,12000,25050,0,1,0,2,0,2,2,1,DEF
192476,11,ATK,DEF,3,7,78,0,12000,25050,0,1,0,1,0,2,2,1,DEF
192476,11,ATK,DEF,3,7,78,0,12000,25050,0,1,0,1,0,2,2,1,DEF
192476,11,ATK,DEF,3,7,70,0,12000,25050,0,1,0,1,0,1,2,1,DEF
192476,11,ATK,DEF,3,7,68,0,12000,25050,0,0,0,1,0,1,2,1,DEF
192476,11,ATK,DEF,3,7,63,0,12000,25050,0,0,0,0,0,1,2,1,DEF
192476,12,ATK,DEF,3,8,100,0,21050,25650,1,1,0,2,0,2,2,1,ATK
192476,12,ATK,DEF,3,8,81,0,21050,25650,1,1,0,2,0,2,1,1,ATK
192476,12,ATK,DEF,3,8,80,0,21050,25650,1,1,0,2,0,2,0,1,ATK
192476,12,ATK,DEF,3,8,77,0,21050,25650,1,1,0,2,0,2,0,1,ATK
192476,12,ATK,DEF,3,8,76,0,21050,25650,1,1,0,2,0,1,0,1,ATK
192476,12,ATK,DEF,3,8,45,1,21050,25650,1,1,0,2,0,1,0,1,ATK
192476,12,ATK,DEF,3,8,23,1,21050,25650,1,1,0,1,0,1,0,1,ATK
192476,12,ATK,DEF,3,8,20,1,21050,25650,0,1,0,1,0,1,0,1,ATK
192476,12,ATK,DEF,3,8,17,1,21050,25650,0,1,0,1,0,0,0,1,ATK
192476,12,ATK,DEF,3,8,17,1,21050,25650,0,1,0,0,0,0,0,1,ATK
192476,12,ATK,DEF,3,8,11,1,21050,25650,0,1,0,0,0,0,0,0,ATK
192476,13,DEF,ATK,8,4,100,0,4150,3700,0,2,2,1,1,1,0,2,DEF
192476,13,DEF,ATK,8,4,72,0,4150,3700,0,2,2,0,1,1,0,2,DEF
192476,13,DEF,ATK,8,4,71,0,4150,3700,0,2,2,0,1,0,0,2,DEF
192476,13,DEF,ATK,8,4,71,0,4150,3700,0,1,2,0,1,0,0,2,DEF
192476,13,DEF,ATK,8,4,68,0,4150,3700,0,1,2,0,1,0,0,2,DEF
192476,13,DEF,ATK,8,4,65,0,4150,3700,0,1,1,0,1,0,0,2,DEF
192476,13,DEF,ATK,8,4,63,0,4150,3700,0,1,1,0,0,0,0,2,DEF
192476,13,DEF,ATK,8,4,62,0,4150,3700,0,1,0,0,0,0,0,2,DEF
192476,13,DEF,ATK,8,4,52,0,4150,3700,0,0,0,0,0,0,0,2,DEF
192476,14,DEF,ATK,8,5,100,0,4150,16950,0,2,2,1,1,1,0,2,DEF
192476,14,DEF,ATK,8,5,78,0,4150,16950,0,2,2,1,1,1,0,2,DEF
192476,14,DEF,ATK,8,5,57,0,4150,16950,0,2,2,1,1,1,0,1,DEF
192476,14,DEF,ATK,8,5,49,0,4150,16950,0,1,2,1,1,1,0,1,DEF
192476,14,DEF,ATK,8,5,45,0,4150,16950,0,1,1,1,1,1,0,1,DEF
192476,14,DEF,ATK,8,5,43,0,4150,16950,0,0,1,1,1,1,0,1,DEF
192476,14,DEF,ATK,8,5,45,1,4150,16950,0,0,1,1,1,1,0,1,DEF
192476,14,DEF,ATK,8,5,28,1,4150,16950,0,0,1,0,1,1,0,1,DEF
192476,14,DEF,ATK,8,5,19,1,4150,16950,0,0,0,0,1,1,0,1,DEF
192476,14,DEF,ATK,8,5,8,1,4150,16950,0,0,0,0,1,1,0,1,DEF
192476,15,DEF,ATK,8,6,100,0,19700,13300,0,2,2,1,1,1,0,2,DEF
192476,15,DEF,ATK,8,6,87,0,19700,13300,0,1,2,1,1,1,0,2,DEF
192476,15,DEF,ATK,8,6,34,0,19700,13300,0,1,2,1,1,1,0,1,DEF
192476,15,DEF,ATK,8,6,14,0,19700,13300,0,1,1,1,1,1,0,1,DEF
192476,15,DEF,ATK,8,6,14,0,19700,13300,0,1,1,1,1,0,0,1,DEF
192476,15,DEF,ATK,8,6,45,1,19700,13300,0,1,1,1,1,0,0,1,DEF
192476,15,DEF,ATK,8,6,43,1,19700,13300,0,1,1,0,1,0,0,1,DEF
192476,15,DEF,ATK,8,6,43,1,19700,13300,0,1,0,0,1,0,0,1,DEF
192476,15,DEF,ATK,8,6,43,1,19700,13300,0,1,0,0,0,0,0,1,DEF
192476,15,DEF,ATK,8,6,35,1,19700,13300,0,0,0,0,0,0,0,1,DEF
192476,15,DEF,ATK,8,6,24,1,19700,13300,0,0,0,0,0,0,0,1,DEF
192476,16,DEF,ATK,8,7,100,0,10050,23500,0,2,2,1,1,1,0,2,ATK
192476,16,DEF,ATK,8,7,75,0,10050,23500,0,1,2,1,1,1,0,2,ATK
192476,16,DEF,ATK,8,7,56,0,10050,23500,0,1,2,1,1,1,0,1,ATK
192476,16,DEF,ATK,8,7,52,0,10050,23500,0,1,2,1,1,1,0,0,ATK
192476,16,DEF,ATK,8,7,52,0,10050,23500,0,1,2,1,1,0,0,0,ATK
192476,16,DEF,ATK,8,7,45,1,10050,23500,0,1,2,1,1,0,0,0,ATK
192476,16,DEF,ATK,8,7,37,1,10050,23500,0,1,1,1,1,0,0,0,ATK
192476,16,DEF,ATK,8,7,34,1,10050,23500,0,0,1,1,1,0,0,0,ATK
192476,16,DEF,ATK,8,7,33,1,10050,23500,0,0,1,1,0,0,0,0,ATK
192476,16,DEF,ATK,8,7,23,1,10050,23500,0,0,1,1,0,0,0,0,ATK
192476,17,DEF,ATK,9,7,100,0,23450,13250,0,2,2,1,1,1,0,2,ATK
192476,17,DEF,ATK,9,7,39,0,23450,13250,0,1,2,1,1,1,0,2,ATK
192476,17,DEF,ATK,9,7,37,0,23450,13250,0,1,2,1,0,1,0,2,ATK
192476,17,DEF,ATK,9,7,35,0,23450,13250,0,1,2,1,0,1,0,2,ATK
192476,17,DEF,ATK,9,7,32,0,23450,13250,0,1,2,1,0,0,0,2,ATK
192476,17,DEF,ATK,9,7,30,0,23450,13250,0,1,2,1,0,0,0,1,ATK
192476,17,DEF,ATK,9,7,29,0,23450,13250,0,1,2,1,0,0,0,0,ATK
192476,17,DEF,ATK,9,7,45,1,23450,13250,0,1,2,1,0,0,0,0,ATK
192476,18,DEF,ATK,10,7,100,0,23450,20050,0,2,2,1,1,1,0,2,ATK
192476,18,DEF,ATK,10,7,93,0,23450,20050,0,2,2,1,1,1,0,1,ATK
192476,18,DEF,ATK,10,7,90,0,23450,20050,0,2,2,0,1,1,0,1,ATK
192476,18,DEF,ATK,10,7,75,0,23450,20050,0,2,2,0,1,1,0,1,ATK
192476,18,DEF,ATK,10,7,74,0,23450,20050,0,2,1,0,1,1,0,1,ATK
192476,18,DEF,ATK,10,7,67,0,23450,20050,0,2,0,0,1,1,0,1,ATK
192476,18,DEF,ATK,10,7,62,0,23450,20050,0,2,0,0,0,1,0,1,ATK
192476,18,DEF,ATK,10,7,56,0,23450,20050,0,2,0,0,0,1,0,0,ATK
192476,18,DEF,ATK,10,7,45,1,23450,20050,0,2,0,0,0,1,0,0,ATK
192476,18,DEF,ATK,10,7,33,1,23450,20050,0,1,0,0,0,1,0,0,ATK
192476,18,DEF,ATK,10,7,21,1,23450,20050,0,1,0,0,0,0,0,0,ATK
192476,19,DEF,ATK,11,7,100,0,23000,8800,0,2,2,1,1,1,0,2,ATK
192476,19,DEF,ATK,11,7,40,0,23000,8800,0,2,2,1,1,1,0,1,ATK
192476,19,DEF,ATK,11,7,32,0,23000,8800,0,2,2,1,1,1,0,0,ATK
192476,19,DEF,ATK,11,7,30,0,23000,8800,0,1,2,1,1,1,0,0,ATK
192476,19,DEF,ATK,11,7,28,0,23000,8800,0,1,2,1,0,1,0,0,ATK
192476,19,DEF,ATK,11,7,25,0,23000,8800,0,1,1,1,0,1,0,0,ATK
192476,19,DEF,ATK,11,7,45,1,23000,8800,0,1,1,1,0,1,0,0,ATK
192476,19,DEF,ATK,11,7,32,1,23000,8800,0,1,1,1,0,0,0,0,ATK
192476,19,DEF,ATK,11,7,31,1,23000,8800,0,1,1,1,0,0,0,0,ATK
192476,20,DEF,ATK,12,7,100,0,23900,21850,0,2,2,1,1,1,0,2,DEF
192476,20,DEF,ATK,12,7,72,0,23900,21850,0,2,2,1,1,1,0,2,DEF
192476,20,DEF,ATK,12,7,45,1,23900,21850,0,2,2,1,1,1,0,2,DEF
192476,20,DEF,ATK,12,7,42,1,23900,21850,0,1,2,1,1,1,0,2,DEF
192476,20,DEF,ATK,12,7,31,1,23900,21850,0,1,1,1,1,1,0,2,DEF
192476,20,DEF,ATK,12,7,30,1,23900,21850,0,1,1,1,0,1,0,2,DEF
192476,20,DEF,ATK,12,7,29,1,23900,21850,0,1,1,1,0,0,0,2,DEF
192476,20,DEF,ATK,12,7,29,1,23900,21850,0,0,1,1,0,0,0,2,DEF
192476,20,DEF,ATK,12,7,18,1,23900,21850,0,0,1,0,0,0,0,2,DEF
192476,20,DEF,ATK,12,7,17,1,23900,21850,0,0,0,0,0,0,0,2,DEF
192476,20,DEF,ATK,12,7,10,1,23900,21850,0,0,0,0,0,0,0,2,DEF
192476,21,DEF,ATK,12,8,100,0,22950,20800,0,2,2,1,1,1,0,2,ATK
192476,21,DEF,ATK,12,8,77,0,22950,20800,0,2,2,0,1,1,0,2,ATK
192476,21,DEF,ATK,12,8,76,0,22950,20800,0,2,2,0,1,1,0,1,ATK
192476,21,DEF,ATK,12,8,75,0,22950,20800,0,1,2,0,1,1,0,1,ATK
192476,21,DEF,ATK,12,8,45,1,22950,20800,0,1,2,0,1,1,0,1,ATK
192476,21,DEF,ATK,12,8,36,1,22950,20800,0,1,2,0,1,1,0,1,ATK
192476,21,DEF,ATK,12,8,32,1,22950,20800,0,1,2,0,1,0,0,1,ATK
192476,21,DEF,ATK,12,8,23,1,22950,20800,0,1,2,0,0,0,0,1,ATK
192476,21,DEF,ATK,12,8,22,1,22950,20800,0,0,2,0,0,0,0,1,ATK
192476,21,DEF,ATK,12,8,16,1,22950,20800,0,0,1,0,0,0,0,1,ATK
192476,21,DEF,ATK,12,8,10,1,22950,20800,0,0,1,0,0,0,0,0,ATK
192637,1,ATK,DEF,0,0,100,0,3600,3700,1,2,0,2,2,2,0,1,DEF
192637,1,ATK,DEF,0,0,78,0,3600,3700,0,2,0,2,2,2,0,1,DEF
192637,1,ATK,DEF,0,0,77,0,3600,3700,0,1,0,2,2,2,0,1,DEF
192637,1,ATK,DEF,0,0,76,0,3600,3700,0,1,0,2,2,1,0,1,DEF
192637,1,ATK,DEF,0,0,75,0,3600,3700,0,0,0,2,2,1,0,1,DEF
192637,1,ATK,DEF,0,0,75,0,3600,3700,0,0,0,2,2,1,0,0,DEF
192637,1,ATK,DEF,0,0,69,0,3600,3700,0,0,0,1,2,1,0,0,DEF
192637,1,ATK,DEF,0,0,68,0,3600,3700,0,0,0,1,1,1,0,0,DEF
192637,1,ATK,DEF,0,0,68,0,3600,3700,0,0,0,0,1,1,0,0,DEF
192637,2,ATK,DEF,0,1,100,0,3300,15100,1,2,0,2,2,2,0,1,DEF
